GLITTER4.5: Laser Ablation Analysis Results;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C:\Element\user\Administrator\data\250605 Marijn Apetite 2\250605 Marijn Apetite 2.FIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Created: Thu Jun 05 18:07:32 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All values are reported in ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLITTER!: Trace Element Concentrations MDL filtered.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Element;N612-1;N612-2;N612-3;N610-1;2024-24-Colo-1;2024-24-Colo-2;2024-24-Colo-3;2024-24-Colo-4;2024-24-Colo-5;N612-4;N610-2;2024-24-Colo-6;2024-24-Colo-8;2024-24-Colo-9;2024-24-Colo-10;N612-5;N610-3;2024-24-Colo-11;2024-24-Colo-12;2024-24-Colo-13;Bonn-062-L9-Colo-14;Bonn-062-L9-Colo-15;Bonn-062-L9-Colo-16;N610-4;N610-5;N612-6;N612-7;N612-8
Ni60;0.00227;0.00229;0.00239;0.0264;0;0.00064;0;0;0;0.00242;0.0266;0.00626;0.00252;0.00054;0;0.00229;0.027;0;0;0;0;0;0;0.0282;0.0282;0.00206;0.0024;0.00246
Cu63;0.178;0.222;0.235;2.6;0;0;0.037;0;0;0.226;2.58;0.437;0.054;0;0;0.225;2.61;0;0.0231;0;0;0;0;2.66;2.56;0.218;0.221;0.21
Zn66;0.078;0.0828;0.0815;1.062;0.14;0.069;0.089;0.061;0.076;0.086;1.058;0.34;0.113;0.113;0.294;0.0866;1.06;0.136;0.087;0.093;0.0614;0.07;0.312;0.99;1.06;0.0771;0.086;0.079
As75;13.11;10.82;13.67;133.44;0;0;0;3.44;0;15.97;145.58;20.46;4.55;4.52;3.2;15.86;136.97;0;5.05;0;5.27;6.68;23.72;127.94;120.82;12.69;12.8;11.36
Sr87;6.7;6.45;6.3;67.03;193.99;197.05;200.55;167.06;182.1;5.99;67.97;327.63;185.1;182.56;187.06;6.4;72.68;196.01;192.52;223.56;217.46;221.97;208.37;73.9;78.02;6.47;6.68;6.28
Sr88;6.53;6.22;6.67;45.01;631.41;625.95;595.92;505.96;570.35;6.09;43.62;1244.88;580.31;682.83;600.25;6.34;45.94;632.3;646.63;697.65;758.73;769.91;674.34;45.35;45.49;6.32;6.5;6.51
Cd111;26.64;26.23;29.88;235.18;7.2;7.98;9.64;6.4;6;30.23;299.1;18.06;8.69;9.27;7.07;29.76;300.13;6.35;9.84;13.17;7.29;9.18;11.85;256.94;286.87;28.08;30.25;24.94
Ba137;11.22;10.56;11.2;125.39;10.17;8.06;10.62;8.14;8.97;11.31;126.29;18.38;10.39;8.91;9.46;11.36;127.87;9.88;9.26;11.31;9.94;11.41;11.74;132.17;133.57;11.04;11.23;10.73
Ba138;11.3;10.88;11.07;142.75;9.48;9.53;9.78;8.99;10.37;10.91;139.19;18.29;10.34;9.24;10.33;11.17;144.03;9.98;10.02;12.18;10.83;10.89;10.78;144.63;142.95;11.34;10.98;10.95
Pb208;10.9;10.18;10.74;135.01;0.825;0.413;0.735;0.573;0.486;10.82;132.31;4.5;0.658;0.5;0.707;11.1;135.65;0.727;0.751;1.57;0.668;0.768;0.778;137.5;136.75;11.14;10.5;10.24
